label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
B,0.0,0.0,0.0,0.04338374733924866,-0.011590838432312012,-0.017488298937678337,0.08573061227798462,-0.07818424701690674,-0.023460321128368378,0.09738007187843323,-0.14982211589813232,-0.029233679175376892,0.07017776370048523,-0.18337392807006836,-0.03471739590167999,0.07595670223236084,-0.2057839035987854,-0.004696252290159464,0.09048181772232056,-0.29056769609451294,-0.021043667569756508,0.09887534379959106,-0.3136955201625824,-0.036141328513622284,0.10239052772521973,-0.3077865242958069,-0.044226426631212234,0.050544410943984985,-0.22481390833854675,-0.005357731599360704,0.06590363383293152,-0.31615036725997925,-0.017869602888822556,0.07756048440933228,-0.33843082189559937,-0.02963343635201454,0.08394843339920044,-0.3308606743812561,-0.03639749437570572,0.023131519556045532,-0.22576457262039185,-0.009488563053309917,0.03505837917327881,-0.3135383129119873,-0.021312540397047997,0.04719027876853943,-0.3337891697883606,-0.02805287204682827,0.05611979961395264,-0.32709312438964844,-0.03104425221681595,-0.007519543170928955,-0.21311789751052856,-0.015808671712875366,0.003237903118133545,-0.28697606921195984,-0.024759890511631966,0.013387054204940796,-0.3160031735897064,-0.027040235698223114,0.022030621767044067,-0.3235801160335541,-0.02747339941561222
B,0.0,0.0,0.0,0.04277414083480835,-0.015079379081726074,-0.01718066819012165,0.08488607406616211,-0.08664339780807495,-0.02255336381494999,0.09076878428459167,-0.1626375913619995,-0.028248026967048645,0.058324605226516724,-0.18651652336120605,-0.033124905079603195,0.0743081271648407,-0.21661919355392456,-0.0012352765770629048,0.08747127652168274,-0.3035244643688202,-0.015870215371251106,0.09056654572486877,-0.3152010142803192,-0.03040657378733158,0.08874067664146423,-0.3021406829357147,-0.0382683202624321,0.04824605584144592,-0.23446068167686462,-0.0027202467899769545,0.06106635928153992,-0.32788604497909546,-0.014803293161094189,0.06735989451408386,-0.3336946666240692,-0.027243658900260925,0.06675750017166138,-0.31539931893348694,-0.03389527276158333,0.020911723375320435,-0.2358352243900299,-0.007663198746740818,0.02984929084777832,-0.3250190019607544,-0.018679438158869743,0.03863424062728882,-0.33539992570877075,-0.02659481018781662,0.04187411069869995,-0.3217061758041382,-0.03003401681780815,-0.009841680526733398,-0.22346341609954834,-0.0148549173027277,-0.006633758544921875,-0.3060522675514221,-0.021854953840374947,-0.005317866802215576,-0.34433940052986145,-0.024352913722395897,-0.007660806179046631,-0.3603488802909851,-0.02541337162256241
B,0.0,0.0,0.0,0.043212831020355225,-0.009877383708953857,-0.020881811156868935,0.08306777477264404,-0.06745201349258423,-0.027624666690826416,0.0867270827293396,-0.13380521535873413,-0.033088844269514084,0.06168872117996216,-0.16882073879241943,-0.038367584347724915,0.0813438892364502,-0.19790887832641602,-0.0071427891962230206,0.09207698702812195,-0.2704658806324005,-0.020240312442183495,0.09504801034927368,-0.3099156618118286,-0.033376146107912064,0.09708133339881897,-0.33432620763778687,-0.04233139380812645,0.05289408564567566,-0.21877193450927734,-0.006418335251510143,0.06500309705734253,-0.29443803429603577,-0.017406275495886803,0.07042169570922852,-0.33061832189559937,-0.02877306006848812,0.07453438639640808,-0.3491772711277008,-0.036577604711055756,0.023100167512893677,-0.21918457746505737,-0.009279913268983364,0.02786433696746826,-0.29424476623535156,-0.021846864372491837,0.03037130832672119,-0.3241252899169922,-0.029619349166750908,0.03320232033729553,-0.3370057940483093,-0.033775802701711655,-0.008869379758834839,-0.2037675380706787,-0.014496218413114548,-0.0013759434223175049,-0.2693110704421997,-0.025346674025058746,0.0036614835262298584,-0.30109328031539917,-0.029264302924275398,0.00861099362373352,-0.32145461440086365,-0.031182751059532166
B,0.0,0.0,0.0,0.05518120527267456,-0.03718382120132446,-0.023244429379701614,0.09656494855880737,-0.11592602729797363,-0.03466895967721939,0.09263560175895691,-0.19373387098312378,-0.04516654461622238,0.05574655532836914,-0.21040880680084229,-0.056420810520648956,0.07575398683547974,-0.2764629125595093,-0.019744984805583954,0.0798482894897461,-0.3881775140762329,-0.03706999123096466,0.07535088062286377,-0.4585081934928894,-0.05316969379782677,0.06917986273765564,-0.5189124941825867,-0.06560271978378296,0.0384393036365509,-0.29198157787323,-0.024128032848238945,0.041420549154281616,-0.42246556282043457,-0.03907505050301552,0.039931267499923706,-0.5060406923294067,-0.054685402661561966,0.03616073727607727,-0.5728840827941895,-0.06658957153558731,0.003750920295715332,-0.27990442514419556,-0.03121200017631054,0.0049096643924713135,-0.4040784239768982,-0.044935066252946854,0.0064893364906311035,-0.482391357421875,-0.057416725903749466,0.00681576132774353,-0.5475282669067383,-0.06668628007173538,-0.0319860577583313,-0.24485957622528076,-0.04097634553909302,-0.03376936912536621,-0.33874988555908203,-0.0530133917927742,-0.030790328979492188,-0.400671124458313,-0.05920406058430672,-0.02662074565887451,-0.45580947399139404,-0.06396022439002991
B,0.0,0.0,0.0,0.04751342535018921,-0.030261874198913574,-0.02131771855056286,0.07886594533920288,-0.101870596408844,-0.02867341786623001,0.0713472068309784,-0.17083680629730225,-0.03465301916003227,0.04104125499725342,-0.19711899757385254,-0.04046805575489998,0.06883174180984497,-0.23851144313812256,-0.01088834460824728,0.07928138971328735,-0.3313138484954834,-0.02297702245414257,0.08089691400527954,-0.38962697982788086,-0.03558413311839104,0.08101648092269897,-0.4419895112514496,-0.04546911641955376,0.03797304630279541,-0.26093679666519165,-0.012020587921142578,0.048285841941833496,-0.36970996856689453,-0.021715328097343445,0.05367925763130188,-0.4419507384300232,-0.033493127673864365,0.05799013376235962,-0.5029523372650146,-0.042703777551651,0.008525490760803223,-0.2579307556152344,-0.0161935742944479,0.01764187216758728,-0.3598632216453552,-0.025863774120807648,0.026654064655303955,-0.42538130283355713,-0.03593260049819946,0.033878058195114136,-0.48060303926467896,-0.04336437210440636,-0.02226981520652771,-0.23455053567886353,-0.022914357483386993,-0.015353232622146606,-0.31057679653167725,-0.03143170103430748,-0.007642894983291626,-0.3597520589828491,-0.03544120863080025,-0.00019496679306030273,-0.4032994508743286,-0.038545362651348114
B,0.0,0.0,0.0,0.046832382678985596,-0.03119683265686035,-0.02341512404382229,0.08026143908500671,-0.1012190580368042,-0.03242385387420654,0.07068970799446106,-0.16976141929626465,-0.03965780884027481,0.038470685482025146,-0.19680511951446533,-0.046736620366573334,0.06805816292762756,-0.2393929362297058,-0.014307145029306412,0.07655483484268188,-0.333008736371994,-0.027771489694714546,0.07731974124908447,-0.3935363292694092,-0.040917836129665375,0.07704433798789978,-0.4476640522480011,-0.05112140625715256,0.037154704332351685,-0.2606552839279175,-0.015118720941245556,0.04580819606781006,-0.3724793493747711,-0.026320716366171837,0.04996725916862488,-0.44612962007522583,-0.03872474282979965,0.05329391360282898,-0.5082581043243408,-0.04808032140135765,0.007967114448547363,-0.2562636137008667,-0.018966564908623695,0.014977902173995972,-0.36062443256378174,-0.030117107555270195,0.02229231595993042,-0.427467405796051,-0.040607672184705734,0.02841407060623169,-0.48444077372550964,-0.0480438694357872,-0.02255961298942566,-0.23163992166519165,-0.02546115033328533,-0.01757553219795227,-0.3096559941768646,-0.03507815673947334,-0.010305941104888916,-0.3587036728858948,-0.039325032383203506,-0.0024722814559936523,-0.40280085802078247,-0.04241446033120155
B,0.0,0.0,0.0,0.04650473594665527,-0.03030979633331299,-0.02405189350247383,0.08012497425079346,-0.10071998834609985,-0.03352440148591995,0.07186481356620789,-0.16878336668014526,-0.041121844202280045,0.03971549868583679,-0.19677656888961792,-0.0487019382417202,0.06762850284576416,-0.2381519079208374,-0.016519905999302864,0.07676881551742554,-0.33402514457702637,-0.031087854877114296,0.07713377475738525,-0.39589428901672363,-0.04457942396402359,0.07616519927978516,-0.4503484070301056,-0.05491197109222412,0.036260366439819336,-0.2585965394973755,-0.01729859970510006,0.04517120122909546,-0.37194451689720154,-0.029716888442635536,0.04897966980934143,-0.446431040763855,-0.04275190085172653,0.051865190267562866,-0.508975625038147,-0.05255153402686119,0.006673872470855713,-0.25363844633102417,-0.021122019737958908,0.014695465564727783,-0.3594602346420288,-0.03343861550092697,0.021152079105377197,-0.4276363253593445,-0.04471335560083389,0.026145964860916138,-0.48602214455604553,-0.05271119996905327,-0.024021923542022705,-0.22869575023651123,-0.02753821387887001,-0.018661171197891235,-0.30746355652809143,-0.038365669548511505,-0.012042403221130371,-0.3582821488380432,-0.04360151290893555,-0.004672974348068237,-0.40522244572639465,-0.047422073781490326
B,0.0,0.0,0.0,0.05010607838630676,-0.02540677785873413,-0.021945025771856308,0.09152242541313171,-0.08177149295806885,-0.032028328627347946,0.10810357332229614,-0.14993417263031006,-0.04099258780479431,0.08937036991119385,-0.19870400428771973,-0.05006415769457817,0.07337108254432678,-0.22713708877563477,-0.015669915825128555,0.0856785774230957,-0.3218967318534851,-0.03220302239060402,0.0875200629234314,-0.3816089630126953,-0.0473911315202713,0.0875512957572937,-0.43652844429016113,-0.05843762308359146,0.04350033402442932,-0.24738246202468872,-0.017716197296977043,0.05534619092941284,-0.35972878336906433,-0.03197890892624855,0.06101617217063904,-0.4329022467136383,-0.046099185943603516,0.06460681557655334,-0.49508917331695557,-0.05655297264456749,0.01355692744255066,-0.24576926231384277,-0.022700781002640724,0.02379748225212097,-0.3499809801578522,-0.03571941703557968,0.032017022371292114,-0.4161575734615326,-0.04586299881339073,0.03918886184692383,-0.4737647473812103,-0.05306754633784294,-0.018079012632369995,-0.22578901052474976,-0.030210312455892563,-0.011311709880828857,-0.30412933230400085,-0.041744474321603775,-0.0033163130283355713,-0.3545458912849426,-0.046754732728004456,0.005390197038650513,-0.4008644223213196,-0.05002979561686516
B,0.0,0.0,0.0,0.045660555362701416,-0.036244332790374756,-0.022849634289741516,0.0780934989452362,-0.11832290887832642,-0.03025209531188011,0.06988075375556946,-0.19993412494659424,-0.03564358875155449,0.03721821308135986,-0.2345394492149353,-0.04061809554696083,0.07302004098892212,-0.2358270287513733,-0.012469693087041378,0.0845913290977478,-0.3279523253440857,-0.024893689900636673,0.08556348085403442,-0.38787969946861267,-0.03730703890323639,0.08521178364753723,-0.4421215057373047,-0.04735502600669861,0.04293641448020935,-0.258120059967041,-0.013239432126283646,0.05367326736450195,-0.3695068955421448,-0.023448169231414795,0.05835539102554321,-0.44245973229408264,-0.03494862839579582,0.0615403950214386,-0.5045959949493408,-0.0438084602355957,0.014037787914276123,-0.2540445923805237,-0.017117686569690704,0.022621452808380127,-0.35837942361831665,-0.028483599424362183,0.029475629329681396,-0.42482489347457886,-0.03873075544834137,0.03416246175765991,-0.4817248582839966,-0.046098191291093826,-0.0164375901222229,-0.23027324676513672,-0.023600660264492035,-0.010632455348968506,-0.3053370416164398,-0.034448087215423584,-0.0038357973098754883,-0.3550732731819153,-0.03952591121196747,0.00233536958694458,-0.39998722076416016,-0.04324827715754509
B,0.0,0.0,0.0,0.046511054039001465,-0.03811335563659668,-0.022520124912261963,0.08235841989517212,-0.11454164981842041,-0.030513301491737366,0.0760088562965393,-0.1938294768333435,-0.03676906228065491,0.04532477259635925,-0.23545902967453003,-0.042748287320137024,0.07137319445610046,-0.23626261949539185,-0.013047841377556324,0.08226025104522705,-0.330116331577301,-0.027037866413593292,0.08332663774490356,-0.3906313478946686,-0.040338099002838135,0.08347362279891968,-0.4456423223018646,-0.050552479922771454,0.041070640087127686,-0.25743240118026733,-0.014229044318199158,0.051627904176712036,-0.36934536695480347,-0.026074999943375587,0.05706268548965454,-0.4422736167907715,-0.03829701617360115,0.0614282488822937,-0.5037994980812073,-0.04734126105904579,0.012294471263885498,-0.25422853231430054,-0.018536878749728203,0.019871145486831665,-0.36082011461257935,-0.031043631955981255,0.026925772428512573,-0.4270588457584381,-0.04085420444607735,0.03317156434059143,-0.4831928610801697,-0.047500092536211014,-0.01808193325996399,-0.231822669506073,-0.025358909741044044,-0.013803958892822266,-0.3101527690887451,-0.03673938289284706,-0.006860822439193726,-0.3591423034667969,-0.04122551903128624,0.0006549954414367676,-0.40300318598747253,-0.04409072548151016
